phone,business_name,date_exported,source
9373340075,Speakup Spoken English Academy,2026-06-09,HOT_LEADS
9284644849,Excellent Quest Career Academy,2026-06-09,HOT_LEADS
9421861333,Shri Coaching Classes & Abacus Classes Beed.,2026-06-09,HOT_LEADS
9823456056,Times Coaching Classes Beed,2026-06-09,HOT_LEADS
8380000919,Vidyamandir Career Institute,2026-06-09,HOT_LEADS
9960931824,Ghadge Classes Beed,2026-06-09,HOT_LEADS
9096588188,Sargam Music Academy,2026-06-09,HOT_LEADS
9767802458,Aj Music Academy & Store,2026-06-09,HOT_LEADS
8482924426,Icc Ambajogai,2026-06-09,HOT_LEADS
9637772893,Khot Chemistry Classes Kcc Best Coaching For Pcm Pcb Pcmb & All Competitive Exam Coaching Centre,2026-06-09,HOT_LEADS
9405490177,Gbc Classes,2026-06-09,HOT_LEADS
9657572777,Mbc Classes Munde Biology Classes Pcb & Pcm In Ambajogai Beed Ambejogai,2026-06-09,HOT_LEADS
7620770064,Everest Math's Classes Ambajogai,2026-06-09,HOT_LEADS
9673969743,Bankers Point,2026-06-09,HOT_LEADS
9175570600,Avnish Metro Brain Abacus And English Phonics Amba Academy Ambajogai,2026-06-09,HOT_LEADS
