phone,business_name,ownerName,category,district,taluka,city,full_address,rating,reviews,website,maps_link,source_file,whatsappStatus,contactedAt,lastMessage,notes,optOut,updatedAt
8857094845,'my English Hub' Spoken Academy,,Spoken English classes,Ahmednagar,,,"Balikashram Rd, Siddarth Nagar, Tarakpur, Ahilyanagar, Maharashtra 414001",4.9,16,,https://www.google.com/maps/place/%27%27MY+ENGLISH+HUB%27+Spoken+Academy%27/data=!4m7!3m6!1s0x3bdcbb37f14ff32d:0x2fa26eca72489c99!8m2!3d19.1059916!4d74.7303984!16s%2Fg%2F11n06nn0b9!19sChIJLfNP8Te73DsRmZxIcspuoi8?authuser=0&hl=en&rclk=1,output\Ahmednagar\all_data.csv,not_contacted,,,,,
8830110501,8 To 10 All Subjects Ahmednagar Vision Academy,,1st to 12th classes,Ahmednagar,,,"VISION ACADEMY, Professor Colony Chowk Rd, above LOVELY BAKERY, opposite SAMARTH SCHOOL, Nepti Suburban, Ahilyanagar, Maharashtra 414003",4.9,43,,https://www.google.com/maps/place/Best+Coaching+Classes+%7C+8+to+10+%7C+All+Subjects+%7C+Ahmednagar+%7C+Vision+Academy/data=!4m7!3m6!1s0x3bdcba7dea5abf23:0xebadecdf55742870!8m2!3d19.1198772!4d74.7349513!16s%2Fg%2F11f32mrvp7!19sChIJI79a6n263DsRcCh0Vd_sres?authuser=0&hl=en&rclk=1,output\Ahmednagar\all_data.csv,not_contacted,,,,,
8600400200,Achievers Educare,,IIT JEE coaching,Ahmednagar,,,"Jogging Track Road, Savedi, Ahilyanagar, Maharashtra 414001",4.6,28,,https://www.google.com/maps/place/Achievers+Educare/data=!4m7!3m6!1s0x3bdcba80c62cb2cf:0x2e33db4ef8fe7b96!8m2!3d19.1193159!4d74.735812!16s%2Fg%2F11gb3qxsg4!19sChIJz7IsxoC63DsRlnv--E7bMy4?authuser=0&hl=en&rclk=1,output\Ahmednagar\all_data.csv,not_contacted,,,,,
9850063399,Ahuja Classes,,1st to 12th classes,Ahmednagar,,,"16/A, Saheti Society, Borude Mala, Balikashram Road, Savedi,, Ahmednagar-414003, Ahilyanagar, Maharashtra 414003",5.0,184,,https://www.google.com/maps/place/AHUJA+CLASSES/data=!4m7!3m6!1s0x3bdcb1e5b91abbbd:0x59cf8524edade33!8m2!3d19.1119137!4d74.7275522!16s%2Fg%2F11f61fjy7j!19sChIJvbsaueWx3DsRM97aTlL4nAU?authuser=0&hl=en&rclk=1,output\Ahmednagar\all_data.csv,not_contacted,,,,,
8446723960,Aims Aryabhatt Institute Of Mathematics & Sciences,,1st to 12th classes,Ahmednagar,,,"Gulmohar Rd, near Akshay Jumbo Xerox, New Premdan Hudco, Savedi, Ahilyanagar, Maharashtra 414002",5.0,24,,https://www.google.com/maps/place/AIMS+Aryabhatt+Institute+of+Mathematics+%26+Sciences/data=!4m7!3m6!1s0x3bdcbbbc47d97d27:0xd7b57adbf782f081!8m2!3d19.1204319!4d74.7313898!16s%2Fg%2F11jfcwqc01!19sChIJJ33ZR7y73DsRgfCC99t6tdc?authuser=0&hl=en&rclk=1,output\Ahmednagar\all_data.csv,not_contacted,,,,,
9067795407,Ambition Science NEET Academy,,NEET coaching,Ahmednagar,,,"New Premdan Hudco, Savedi, Ahilyanagar, Maharashtra 414003",5.0,1,,https://www.google.com/maps/place/ambition+SCIENCE+NEET+ACADEMY/data=!4m7!3m6!1s0x3bdcba7db60f8e3d:0xeb79055817362c65!8m2!3d19.1203914!4d74.7311846!16s%2Fg%2F11l6tlyvyh!19sChIJPY4Ptn263DsRZSw2F1gFees?authuser=0&hl=en&rclk=1,output\Ahmednagar\all_data.csv,not_contacted,,,,,
8788950089,Andy's Music Academy,,Music Classes,Ahmednagar,,,"near, Sarasnagar Rd, Sarasnagar, Iwale Nagar, Ahilyanagar, Maharashtra 414001",5.0,18,,"https://www.google.com/maps/place/Andy's+Music+Academy/@19.0823042,74.7443294,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdcb1c7997aec3b:0x197b4ddd3e119e0a!8m2!3d19.0823042!4d74.7443294!16s%2Fg%2F11w21bw4_0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",output\Ahmednagar\all_data.csv,not_contacted,,,,,
9527585951,Andys Music Academy,,Music Classes,Ahmednagar,,,"Petrol Pump, Rajhans doodh Dairy, Pipeline Rd, near Savedi, Waani Nagar, Bhistabag, Ahilyanagar, Maharashtra 414003",4.6,80,,"https://www.google.com/maps/place/Andys+Music+Academy/@19.1295027,74.7343334,17z/data=!3m1!4b1!4m6!3m5!1s0x3bdcba89e8a998c7:0xf2a3b84dcdcd2166!8m2!3d19.1295027!4d74.7343334!16s%2Fg%2F11fy1d6j_x?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D",output\Ahmednagar\all_data.csv,not_contacted,,,,,
8857087569,Anomalous Coaching Classes,,1st to 12th classes,Ahmednagar,,,"3rd floor, Krushna complex, Pipeline Rd, near Shriram chowk, Savedi, Ahilyanagar, Maharashtra 414003",4.9,445,,https://www.google.com/maps/place/ANOMALOUS+COACHING+CLASSES%28IIT-JEE%2FNEET%2FMHT-CET%2FNDA%29/data=!4m7!3m6!1s0x3bdcba89b8bb8e55:0x3d9d71bee93c65cc!8m2!3d19.1253226!4d74.7485084!16s%2Fg%2F11ddxs8c1j!19sChIJVY67uIm63DsRzGU86b5xnT0?authuser=0&hl=en&rclk=1,output\Ahmednagar\all_data.csv,not_contacted,,,,,
8087116188,Apex Classes,,Spoken English classes,Ahmednagar,,,"light house, 2nd Floor Opp Royal Touch Behind nala masjid Chitale road, Teli Khunt Rd, Ahilyanagar, Maharashtra 414001",5.0,5,,https://www.google.com/maps/place/Apex+Classes/data=!4m7!3m6!1s0x3bdcb1c4d23fb035:0x9fdafb174b73ef34!8m2!3d19.0976147!4d74.7384602!16s%2Fg%2F11gjhlrhmy!19sChIJNbA_0sSx3DsRNO9zSxf72p8?authuser=0&hl=en&rclk=1,output\Ahmednagar\all_data.csv,not_contacted,,,,,
